gene,coefficient,abs_coefficient
x8,0.6295812554245015,0.6295812554245015
x3,1.2546464361010723e-06,1.2546464361010723e-06
x2,1.0131338529094079e-06,1.0131338529094079e-06
x1,-8.992346330682611e-07,8.992346330682611e-07
x6,5.041822606648374e-07,5.041822606648374e-07
x0,2.429265368187291e-07,2.429265368187291e-07
x7,-1.1637427654340377e-07,1.1637427654340377e-07
x5,-1.1352027651481374e-07,1.1352027651481374e-07
x4,1.0695512674381844e-07,1.0695512674381844e-07
